Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SOUNDHOUND AI INC,SOUN,Buy,Filled,10,10,@16.53,16.53,DAY,09/19/2025 13:31:39 EDT,09/19/2025 13:31:39 EDT
SOUNDHOUND AI INC,SOUN,Buy,Filled,10,10,@16.49,16.49,DAY,09/19/2025 13:28:51 EDT,09/19/2025 13:28:51 EDT
Walmart,WMT,Short,Filled,40,40,@102.84,102.84,DAY,09/19/2025 11:31:27 EDT,09/19/2025 11:36:41 EDT
Acm Research,ACMR,Buy,Cancelled,0,10,@34.73,,DAY,09/19/2025 11:05:39 EDT,
Serve Robotics,SERV,Buy,Cancelled,0,100,@13.11,,DAY,09/19/2025 10:12:27 EDT,
Uber Technologies,UBER,Sell,Filled,8,8,@97.35,97.35,DAY,09/19/2025 09:57:47 EDT,09/19/2025 09:57:56 EDT
ARK Genomic Revolution ETF,ARKG,Buy,Filled,15,15,@27.83,27.83,DAY,09/19/2025 09:56:35 EDT,09/19/2025 09:56:35 EDT
Uber Technologies,UBER,Sell,Filled,7,7,@97.39,97.39,DAY,09/19/2025 09:53:22 EDT,09/19/2025 09:53:30 EDT
Serve Robotics,SERV,Sell,Filled,14,14,@14.60,14.60,DAY,09/19/2025 09:52:58 EDT,09/19/2025 09:53:00 EDT
Serve Robotics,SERV,Sell,Filled,14,14,@14.56,14.56,DAY,09/19/2025 09:52:37 EDT,09/19/2025 09:52:38 EDT
Serve Robotics,SERV,Sell,Filled,27,27,@14.44,14.44,DAY,09/19/2025 09:49:25 EDT,09/19/2025 09:49:31 EDT
Walmart,WMT,Buy,Filled,30,30,@103.55,103.55,DAY,09/19/2025 09:47:08 EDT,09/19/2025 09:47:08 EDT
DeFi Development Corp,DFDV,Buy,Filled,25,25,@17.38,17.38,DAY,09/19/2025 09:38:45 EDT,09/19/2025 09:38:45 EDT
Serve Robotics,SERV,Sell,Filled,55,55,@14.21,14.21,DAY,09/19/2025 09:37:48 EDT,09/19/2025 09:46:23 EDT
DeFi Development Corp,DFDV,Buy,Filled,25,25,@17.16,17.16,DAY,09/19/2025 09:32:54 EDT,09/19/2025 09:32:54 EDT
Uber Technologies,UBER,Sell,Filled,25,25,@97.17,97.17,DAY,09/19/2025 09:32:01 EDT,09/19/2025 09:50:50 EDT
ASP Isotopes,ASPI,Sell,Filled,25,25,@9.96,9.96,DAY,09/19/2025 08:55:44 EDT,09/19/2025 12:50:58 EDT
Serve Robotics,SERV,Buy,Filled,100,100,@13.01,13.01,DAY,09/19/2025 08:35:02 EDT,09/19/2025 09:20:02 EDT
Serve Robotics,SERV,Buy,Filled,10,10,@12.87,12.87,DAY,09/18/2025 17:59:44 EDT,09/18/2025 18:14:38 EDT
ASP Isotopes,ASPI,Buy,Filled,50,50,@9.22,9.22,DAY,09/18/2025 17:37:48 EDT,09/18/2025 17:37:48 EDT
Walmart,WMT,Short,Filled,10,10,@103.43,103.43,DAY,09/18/2025 12:13:15 EDT,09/18/2025 12:13:15 EDT
DeFi Development Corp,DFDV,Buy,Filled,100,100,@18.62,18.62,DAY,09/18/2025 10:11:37 EDT,09/18/2025 10:12:00 EDT
Uber Technologies,UBER,Buy,Filled,10,10,@94.63,94.63,DAY,09/18/2025 09:54:58 EDT,09/18/2025 09:54:58 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Short,Cancelled,0,500,@4.32,,DAY,09/18/2025 09:53:52 EDT,
Walmart,WMT,Short,Filled,20,20,@104.14,104.14,DAY,09/18/2025 09:42:57 EDT,09/18/2025 09:52:23 EDT
Uber Technologies,UBER,Buy,Filled,30,30,@94.12,94.12,DAY,09/18/2025 09:20:54 EDT,09/18/2025 09:20:54 EDT
ProShares UltraPro Short Dow30,SDOW,Sell,Filled,150,150,@36.76,36.76,DAY,09/18/2025 09:16:02 EDT,09/18/2025 09:16:49 EDT
ProShares UltraPro Short Dow30,SDOW,Buy,Filled,150,150,@36.99,36.99,DAY,09/17/2025 12:56:11 EDT,09/17/2025 12:56:11 EDT
Walmart,WMT,Buy,Filled,10,10,@105.68,105.68,DAY,09/17/2025 10:50:22 EDT,09/17/2025 10:50:31 EDT
Summit Therapeutics Inc,SMMT,Sell,Filled,40,40,@18.06,18.06,DAY,09/16/2025 19:39:16 EDT,09/16/2025 19:39:16 EDT
BrightSpring Health Services  Inc.,BTSG,Sell,Filled,50,50,@27.09,27.09,DAY,09/16/2025 14:59:09 EDT,09/16/2025 14:59:09 EDT
Cleanspark Inc,CLSK,Sell,Filled,23,23,@11.11,11.11,DAY,09/16/2025 14:58:32 EDT,09/16/2025 15:00:15 EDT
Metsera,MTSR,Sell,Filled,25,25,@33.57,33.57,DAY,09/16/2025 14:58:18 EDT,09/16/2025 14:58:18 EDT
Cleanspark Inc,CLSK,Sell,Filled,27,27,@10.85,10.85,DAY,09/16/2025 12:33:57 EDT,09/16/2025 12:34:25 EDT
APA Corp (US),APA,Buy,Filled,35,35,@24.53,24.53,DAY,09/16/2025 12:14:03 EDT,09/16/2025 12:14:03 EDT
Super Group (SGHC) Ltd,SGHC,Sell,Filled,30,30,@13.34,13.34,DAY,09/16/2025 10:21:01 EDT,09/16/2025 10:21:18 EDT
BrightSpring Health Services  Inc.,BTSG,Sell,Cancelled,0,50,@25.78,,DAY,09/16/2025 10:20:22 EDT,
Walmart,WMT,Short,Filled,10,10,@103.58,103.58,DAY,09/16/2025 10:02:48 EDT,09/16/2025 10:02:48 EDT
Super Group (SGHC) Ltd,SGHC,Sell,Filled,45,45,@13.33,13.33,DAY,09/16/2025 09:33:35 EDT,09/16/2025 10:19:44 EDT
APA Corp (US),APA,Short,Filled,35,35,@23.20,23.20,DAY,09/16/2025 08:36:27 EDT,09/16/2025 09:25:00 EDT
Cleanspark Inc,CLSK,Sell,Filled,50,50,@10.76,10.76,DAY,09/16/2025 07:48:32 EDT,09/16/2025 11:40:09 EDT
Metsera,MTSR,Sell,Filled,25,25,@33.56,33.56,DAY,09/16/2025 07:01:34 EDT,09/16/2025 14:57:57 EDT
Metsera,MTSR,Sell,Filled,50,50,@35.78,35.78,DAY,09/16/2025 06:02:16 EDT,09/16/2025 07:01:00 EDT
BrightSpring Health Services  Inc.,BTSG,Sell,Cancelled,0,37,@27.81,,DAY,09/15/2025 17:31:13 EDT,
BrightSpring Health Services  Inc.,BTSG,Buy,Filled,50,50,@26.61,26.61,DAY,09/15/2025 11:53:21 EDT,09/15/2025 11:53:21 EDT
Metsera,MTSR,Buy,Filled,100,100,@34.45,34.45,DAY,09/15/2025 11:51:38 EDT,09/15/2025 11:51:38 EDT
Cleanspark Inc,CLSK,Buy,Filled,50,50,@10.10,10.10,DAY,09/15/2025 09:49:55 EDT,09/15/2025 10:23:56 EDT
Super Group (SGHC) Ltd,SGHC,Buy,Filled,25,25,@12.66,12.66,DAY,09/15/2025 09:31:39 EDT,09/15/2025 09:33:28 EDT
Serve Robotics,SERV,Buy,Filled,50,50,@12.61,12.61,DAY,09/15/2025 05:54:30 EDT,09/15/2025 09:27:34 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,75,75,@4.26,4.26,DAY,09/12/2025 19:49:59 EDT,09/12/2025 19:49:59 EDT
Summit Therapeutics Inc,SMMT,Buy,Filled,20,20,@18.85,18.85,DAY,09/12/2025 12:09:47 EDT,09/12/2025 12:09:47 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,25,25,@4.36,4.36,DAY,09/12/2025 11:07:00 EDT,09/12/2025 11:07:00 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,25,25,@4.36,4.36,DAY,09/12/2025 11:06:36 EDT,09/12/2025 11:06:36 EDT
Serve Robotics,SERV,Short,Filled,25,25,@12.49,12.49,DAY,09/12/2025 10:49:03 EDT,09/12/2025 10:49:03 EDT
Super Group (SGHC) Ltd,SGHC,Buy,Filled,50,50,@12.79,12.79,DAY,09/12/2025 10:46:38 EDT,09/12/2025 10:46:38 EDT
Serve Robotics,SERV,Short,Filled,25,25,@12.71,12.71,DAY,09/12/2025 09:45:24 EDT,09/12/2025 09:45:43 EDT
DeFi Development Corp,DFDV,Sell,Filled,25,25,@17.17,17.17,DAY,09/12/2025 09:05:45 EDT,09/12/2025 09:05:45 EDT
Uber Technologies,UBER,Sell,Filled,10,10,@96.00,96.00,DAY,09/12/2025 07:00:39 EDT,09/12/2025 11:24:19 EDT
SOUNDHOUND AI INC,SOUN,Sell,Filled,30,30,@14.87,14.87,DAY,09/11/2025 15:11:25 EDT,09/11/2025 15:11:25 EDT
Summit Therapeutics Inc,SMMT,Buy,Filled,20,20,@18.06,18.06,DAY,09/11/2025 12:52:04 EDT,09/11/2025 12:52:04 EDT
Serve Robotics,SERV,Sell,Filled,20,20,@12.06,12.06,DAY,09/11/2025 12:25:38 EDT,09/11/2025 12:25:38 EDT
DeFi Development Corp,DFDV,Buy,Filled,25,25,@16.90,16.90,DAY,09/11/2025 10:45:56 EDT,09/11/2025 10:45:56 EDT
Cleanspark Inc,CLSK,Buy,Filled,50,50,@10.37,10.37,DAY,09/11/2025 10:40:27 EDT,09/11/2025 10:40:27 EDT
SOUNDHOUND AI INC,SOUN,Sell,Filled,85,85,@14.85,14.85,DAY,09/11/2025 09:38:25 EDT,09/11/2025 14:00:01 EDT
Serve Robotics,SERV,Sell,Filled,30,30,@11.95,11.95,DAY,09/11/2025 09:37:38 EDT,09/11/2025 12:15:25 EDT
Serve Robotics,SERV,Sell,Filled,50,50,@11.66,11.66,DAY,09/11/2025 09:36:58 EDT,09/11/2025 09:40:53 EDT
Serve Robotics,SERV,Buy,Filled,50,50,@11.39,11.39,DAY,09/11/2025 09:33:47 EDT,09/11/2025 09:33:48 EDT
SOUNDHOUND AI INC,SOUN,Buy,Filled,25,25,@14.17,14.17,DAY,09/11/2025 09:31:54 EDT,09/11/2025 09:31:58 EDT
SOUNDHOUND AI INC,SOUN,Buy,Filled,15,15,@14.35,14.35,DAY,09/10/2025 10:03:11 EDT,09/10/2025 10:03:11 EDT
SOUNDHOUND AI INC,SOUN,Sell,Filled,25,25,@14.94,14.94,DAY,09/10/2025 08:18:40 EDT,09/10/2025 08:18:40 EDT
SOUNDHOUND AI INC,SOUN,Sell,Filled,20,20,@15.07,15.07,DAY,09/10/2025 06:56:37 EDT,09/10/2025 06:56:37 EDT
Uber Technologies,UBER,Sell,Filled,10,10,@95.26,95.26,DAY,09/10/2025 06:41:27 EDT,09/10/2025 06:41:27 EDT
Serve Robotics,SERV,Sell,Filled,50,50,@11.05,11.05,DAY,09/10/2025 06:21:11 EDT,09/10/2025 06:21:11 EDT
