Date,Daily_Realized_PnL,Cumulative_Realized_PnL
2024-03-11,-13.12,-13.12
2025-01-06,-32.25,-45.37
2025-01-07,0.02,-45.35
2025-01-08,-12.96,-58.31
2025-02-04,-0.4,-58.71
2025-02-07,-6.4,-65.11
2025-02-11,1.68,-63.43
2025-02-18,3.4,-60.03
2025-02-20,15.72,-44.31
2025-02-24,-82.41,-126.72
2025-02-27,12.16,-114.56
2025-03-20,-138.0,-252.56
2025-03-31,-221.35,-473.91
2025-04-03,69.2,-404.71
2025-04-08,63.0,-341.71
2025-04-09,148.08,-193.63
2025-04-16,-4.2,-197.83
2025-04-17,29.4,-168.43
2025-04-21,46.45,-121.98
2025-04-22,166.92,44.94
2025-04-23,7.7,52.64
2025-04-24,89.49,142.13
2025-04-25,-7.66,134.47
2025-04-28,7.49,141.96
2025-04-29,-47.89,94.07
2025-04-30,-55.03,39.04
2025-05-02,-123.51,-84.47
2025-05-08,-175.85,-260.32
2025-05-12,314.54,54.22
2025-05-14,17.88,72.1
2025-05-19,-161.35,-89.25
2025-05-20,-24.94,-114.19
2025-05-21,-201.6,-315.79
2025-05-23,-4.8,-320.59
2025-05-27,132.5,-188.09
2025-06-02,-255.42,-443.51
2025-06-03,88.54,-354.97
2025-06-05,40.36,-314.61
2025-06-06,-57.2,-371.81
2025-06-09,75.4,-296.41
2025-06-11,11.52,-284.89
2025-06-12,-56.48,-341.37
2025-06-16,-2.04,-343.41
2025-06-18,75.0,-268.41
2025-06-23,-13.92,-282.33
2025-06-24,131.55,-150.78
2025-06-25,15.01,-135.77
2025-06-26,86.42,-49.35
2025-06-27,49.75,0.4
2025-06-30,68.68,69.08
2025-07-01,-42.2,26.88
2025-07-07,81.4,108.28
2025-07-08,-27.56,80.72
2025-07-09,44.9,125.62
2025-07-14,12.12,137.74
2025-07-15,-20.3,117.44
2025-07-16,24.04,141.48
2025-07-21,45.5,186.98
2025-07-22,24.6,211.58
2025-07-23,51.75,263.33
2025-07-24,-16.7,246.63
2025-07-25,22.1,268.73
2025-07-28,-11.4,257.33
2025-07-29,20.1,277.43
2025-07-30,-13.52,263.91
2025-07-31,81.65,345.56
2025-08-01,-134.35,211.21
2025-08-04,37.19,248.4
2025-08-05,33.3,281.7
2025-08-06,-7.69,274.01
2025-08-07,-26.94,247.07
2025-08-08,111.08,358.15
2025-08-11,-19.88,338.27
2025-08-12,25.97,364.24
2025-08-13,50.44,414.68
2025-08-14,20.2,434.88
2025-08-15,-54.8,380.08
2025-08-18,-12.49,367.59
2025-08-19,49.45,417.04
2025-08-20,-30.15,386.89
2025-08-21,-43.1,343.79
2025-08-22,56.88,400.67
2025-08-25,-30.0,370.67
2025-08-26,-14.04,356.63
2025-08-27,-26.0,330.63
2025-08-28,48.73,379.36
2025-09-02,-158.14,221.22
2025-09-03,-156.0,65.22
2025-09-04,34.68,99.9
2025-09-05,43.75,143.65
